# commit bd985d7; command: node --experimental-strip-types audit/evidence/01-fixtures/impl-lines.ts; date 2026-09-25
path	selected	command	exit	marker_code	marker_line	impl_lines_for_code	verdict	first_output_line
parse/invalid/chained-comparison.hd	true	parse	1	comparison-chaining	2	2	impl-line-matches	spec/conformance/parse/invalid/chained-comparison.hd:2:21: comparison-chaining: comparisons do not chain
parse/invalid/declaration-without-let.hd	true	parse	1	missing-let	2	2	impl-line-matches	spec/conformance/parse/invalid/declaration-without-let.hd:2:5: missing-let: a typed mutable binding must begin with 'let'
parse/invalid/direct-variant-use.hd	true	parse	1	direct-variant-use	2	2	impl-line-matches	spec/conformance/parse/invalid/direct-variant-use.hd:2:23: direct-variant-use: enum variants cannot be imported directly
parse/invalid/doc-comment-without-target.hd	true	parse	1	doc-comment-without-target	2	2	impl-line-matches	spec/conformance/parse/invalid/doc-comment-without-target.hd:2:5: doc-comment-without-target: documentation comments cannot attach to executable statements
parse/invalid/invalid-escape.hd	true	parse	1	invalid-escape	2	2	impl-line-matches	spec/conformance/parse/invalid/invalid-escape.hd:2:10: invalid-escape: invalid escape sequence '\x'
parse/invalid/local-decorator.hd	true	parse	1	decorator-not-top-level	2	2	impl-line-matches	spec/conformance/parse/invalid/local-decorator.hd:2:5: decorator-not-top-level: decorators are only valid on top-level declarations
parse/invalid/mid-file-bom.hd	true	parse	1	unexpected-bom	2	2	impl-line-matches	spec/conformance/parse/invalid/mid-file-bom.hd:2:1: unexpected-bom: a byte-order mark is only allowed at the start of a file
parse/invalid/multi-binding-needs-parentheses.hd	true	parse	1	multi-binding-needs-parentheses	3	3	impl-line-matches	spec/conformance/parse/invalid/multi-binding-needs-parentheses.hd:3:17: multi-binding-needs-parentheses: a multi-name binding inside delimiters must be parenthe
parse/invalid/mutable-embedded-field.hd	true	parse	1	mutable-embedded-field	5	5	impl-line-matches	spec/conformance/parse/invalid/mutable-embedded-field.hd:5:9: mutable-embedded-field: data fields express mutable access in their type rather than with a field 
parse/invalid/mutable-field-modifier.hd	true	parse	1	mutable-field-modifier	2	2	impl-line-matches	spec/conformance/parse/invalid/mutable-field-modifier.hd:2:9: mutable-field-modifier: data fields express mutable access in their type rather than with a field 
parse/invalid/named-pattern-before-positional.hd	true	parse	1	pattern-order	6	6	impl-line-matches	spec/conformance/parse/invalid/named-pattern-before-positional.hd:6:29: pattern-order: positional patterns must precede named patterns
parse/invalid/old-export-declaration.hd	true	parse	1	old-export-declaration	2	2	impl-line-matches	spec/conformance/parse/invalid/old-export-declaration.hd:2:1: old-export-declaration: 'export' was replaced by 'pub use'
parse/invalid/old-import-declaration.hd	true	parse	1	old-import-declaration	2	2	impl-line-matches	spec/conformance/parse/invalid/old-import-declaration.hd:2:1: old-import-declaration: 'import' was replaced by 'use'
parse/invalid/old-struct-declaration.hd	true	parse	1	old-struct-declaration	2	2	impl-line-matches	spec/conformance/parse/invalid/old-struct-declaration.hd:2:1: old-struct-declaration: 'struct' was replaced by 'data'
parse/invalid/positional-after-named.hd	true	parse	1	argument-order	2	2	impl-line-matches	spec/conformance/parse/invalid/positional-after-named.hd:2:19: argument-order: positional arguments must precede named arguments
parse/invalid/pub-trait-method.hd	true	parse	1	trait-method-visibility	2	2	impl-line-matches	spec/conformance/parse/invalid/pub-trait-method.hd:2:5: trait-method-visibility: trait methods inherit the trait's visibility and cannot be declared pub
parse/invalid/reserved-name-collision.hd	true	parse	1	reserved-name	1	1	impl-line-matches	spec/conformance/parse/invalid/reserved-name-collision.hd:1:8: reserved-name: 'shape' is reserved and cannot name a parameter
parse/invalid/semicolon.hd	true	parse	1	reserved-semicolon	2	2	impl-line-matches	spec/conformance/parse/invalid/semicolon.hd:2:14: reserved-semicolon: semicolon is reserved and cannot separate statements
parse/invalid/tab-indentation.hd	true	parse	1	tab-whitespace	2	2	impl-line-matches	spec/conformance/parse/invalid/tab-indentation.hd:2:1: tab-whitespace: indentation must contain spaces only
parse/invalid/trailing-block-in-brackets.hd	true	parse	1	trailing-block-position	3	3	impl-line-matches	spec/conformance/parse/invalid/trailing-block-in-brackets.hd:3:15: trailing-block-position: a trailing callback block is not valid inside brackets
parse/invalid/two-trailing-blocks.hd	true	parse	1	trailing-block-position	3	3	impl-line-matches	spec/conformance/parse/invalid/two-trailing-blocks.hd:3:1: trailing-block-position: a call accepts only one trailing callback block
runtime/panic/competing-suspension-drivers.hd	true	test --scenario competing-drivers	1	suspension-competing-driver	5	-	impl-code-unlocated	suspension-competing-driver: runtime panic
runtime/panic/explicit-panic.hd	true	test	1	explicit-panic	1	-	impl-code-unlocated	explicit-panic: runtime panic
runtime/panic/for-loop-iterator-invalidated.hd	true	test	1	iterator-invalidated	3	-	impl-code-unlocated	iterator-invalidated: runtime panic
runtime/panic/integer-add-overflow.hd	true	test	1	integer-overflow	1	-	impl-code-unlocated	integer-overflow: runtime panic
runtime/panic/integer-divide-by-zero.hd	true	test	1	integer-division-by-zero	2	-	impl-code-unlocated	integer-division-by-zero: runtime panic
runtime/panic/integer-negation-overflow.hd	true	test	1	integer-overflow	2	-	impl-code-unlocated	integer-overflow: runtime panic
runtime/panic/invalid-shift.hd	true	test	1	invalid-shift	1	-	impl-code-unlocated	invalid-shift: runtime panic
runtime/panic/invalidated-iterator.hd	true	test	1	iterator-invalidated	5	-	impl-code-unlocated	iterator-invalidated: runtime panic
runtime/panic/list-index-out-of-bounds.hd	true	test	1	index-out-of-bounds	2	-	impl-code-unlocated	index-out-of-bounds: runtime panic
runtime/panic/list-set-out-of-bounds.hd	true	test	1	index-out-of-bounds	2	-	impl-code-unlocated	index-out-of-bounds: runtime panic
runtime/panic/map-iterator-invalidated.hd	true	test	1	iterator-invalidated	4	-	impl-code-unlocated	iterator-invalidated: runtime panic
runtime/panic/nested-block-on.hd	true	test	1	suspension-nested-driver	7	-	impl-code-unlocated	suspension-nested-driver: runtime panic
runtime/panic/reentrant-cancel.hd	true	test	1	suspension-reentrant-poll	17	-	impl-code-unlocated	suspension-reentrant-poll: runtime panic
runtime/panic/reentrant-suspension-poll.hd	true	test --scenario reentrant-poll	1	suspension-reentrant-poll	5	-	impl-code-unlocated	suspension-reentrant-poll: runtime panic
